index,id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,decade
1280,tm143984,London Has Fallen,MOVIE,2016,R,99,drama,"['BG', 'GB', 'US']",1.0,tt3300542,5.9,155997.0,2010
1280,tm143984,London Has Fallen,MOVIE,2016,R,99,action,"['BG', 'GB', 'US']",1.0,tt3300542,5.9,155997.0,2010
1281,tm212927,Mr. Right,MOVIE,2016,R,95,comedy,['US'],1.0,tt2091935,6.3,55118.0,2010
1281,tm212927,Mr. Right,MOVIE,2016,R,95,romance,['US'],1.0,tt2091935,6.3,55118.0,2010
1281,tm212927,Mr. Right,MOVIE,2016,R,95,action,['US'],1.0,tt2091935,6.3,55118.0,2010
1282,ts53099,Bordertown,SHOW,2016,TV-MA,59,drama,['FI'],3.0,tt4937942,7.6,10371.0,2010
1282,ts53099,Bordertown,SHOW,2016,TV-MA,59,crime,['FI'],3.0,tt4937942,7.6,10371.0,2010
1282,ts53099,Bordertown,SHOW,2016,TV-MA,59,european,['FI'],3.0,tt4937942,7.6,10371.0,2010
1283,ts53664,Fauda,SHOW,2015,TV-MA,40,war,['IL'],3.0,tt4565380,8.3,25239.0,2010
1283,ts53664,Fauda,SHOW,2015,TV-MA,40,thriller,['IL'],3.0,tt4565380,8.3,25239.0,2010
1283,ts53664,Fauda,SHOW,2015,TV-MA,40,action,['IL'],3.0,tt4565380,8.3,25239.0,2010
1283,ts53664,Fauda,SHOW,2015,TV-MA,40,drama,['IL'],3.0,tt4565380,8.3,25239.0,2010
1284,tm143085,Chappie,MOVIE,2015,R,120,scifi,"['MX', 'ZA', 'US']",1.0,tt1823672,6.8,247192.0,2010
1284,tm143085,Chappie,MOVIE,2015,R,120,drama,"['MX', 'ZA', 'US']",1.0,tt1823672,6.8,247192.0,2010
1284,tm143085,Chappie,MOVIE,2015,R,120,thriller,"['MX', 'ZA', 'US']",1.0,tt1823672,6.8,247192.0,2010
1284,tm143085,Chappie,MOVIE,2015,R,120,action,"['MX', 'ZA', 'US']",1.0,tt1823672,6.8,247192.0,2010
1284,tm143085,Chappie,MOVIE,2015,R,120,crime,"['MX', 'ZA', 'US']",1.0,tt1823672,6.8,247192.0,2010
1285,tm209987,Christine,MOVIE,2016,R,115,drama,['US'],1.0,tt4666726,6.9,14977.0,2010
1286,ts42022,El marginal,SHOW,2016,TV-MA,54,crime,['AR'],5.0,tt5820976,8.2,3799.0,2010
1286,ts42022,El marginal,SHOW,2016,TV-MA,54,drama,['AR'],5.0,tt5820976,8.2,3799.0,2010
1286,ts42022,El marginal,SHOW,2016,TV-MA,54,action,['AR'],5.0,tt5820976,8.2,3799.0,2010
1286,ts42022,El marginal,SHOW,2016,TV-MA,54,thriller,['AR'],5.0,tt5820976,8.2,3799.0,2010
1287,ts38415,Frontier,SHOW,2016,TV-MA,46,action,['CA'],3.0,tt4686698,7.1,20706.0,2010
1287,ts38415,Frontier,SHOW,2016,TV-MA,46,drama,['CA'],3.0,tt4686698,7.1,20706.0,2010
1287,ts38415,Frontier,SHOW,2016,TV-MA,46,history,['CA'],3.0,tt4686698,7.1,20706.0,2010
1288,tm137002,Bāhubali: The Beginning,MOVIE,2015,PG-13,159,drama,['IN'],1.0,tt2631186,8.0,117333.0,2010
1288,tm137002,Bāhubali: The Beginning,MOVIE,2015,PG-13,159,action,['IN'],1.0,tt2631186,8.0,117333.0,2010
1288,tm137002,Bāhubali: The Beginning,MOVIE,2015,PG-13,159,fantasy,['IN'],1.0,tt2631186,8.0,117333.0,2010
1289,ts43209,The Cuba Libre Story,SHOW,2015,TV-14,45,documentation,['DE'],2.0,tt5319838,7.6,1583.0,2010
