index,id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,decade
1231,tm243100,Hell or High Water,MOVIE,2016,R,102,thriller,['US'],1.0,tt2582782,7.6,224900.0,2010
1231,tm243100,Hell or High Water,MOVIE,2016,R,102,action,['US'],1.0,tt2582782,7.6,224900.0,2010
1231,tm243100,Hell or High Water,MOVIE,2016,R,102,crime,['US'],1.0,tt2582782,7.6,224900.0,2010
1231,tm243100,Hell or High Water,MOVIE,2016,R,102,drama,['US'],1.0,tt2582782,7.6,224900.0,2010
1232,ts38304,Servant of the People,SHOW,2015,TV-MA,29,comedy,['UA'],3.0,tt6235122,7.3,2706.0,2010
1233,ts36952,Documentary Now!,SHOW,2015,TV-14,22,comedy,['US'],4.0,tt4677934,8.1,6445.0,2010
1234,tm150928,It Follows,MOVIE,2015,R,101,horror,['US'],1.0,tt3235888,6.8,233165.0,2010
1234,tm150928,It Follows,MOVIE,2015,R,101,thriller,['US'],1.0,tt3235888,6.8,233165.0,2010
1235,ts35793,Forged in Fire,SHOW,2015,TV-PG,42,reality,['US'],9.0,tt4680444,8.3,3538.0,2010
1236,ts39007,Van Helsing,SHOW,2016,TV-14,42,scifi,['US'],5.0,tt5197820,6.1,21852.0,2010
1236,ts39007,Van Helsing,SHOW,2016,TV-14,42,fantasy,['US'],5.0,tt5197820,6.1,21852.0,2010
1236,ts39007,Van Helsing,SHOW,2016,TV-14,42,horror,['US'],5.0,tt5197820,6.1,21852.0,2010
1236,ts39007,Van Helsing,SHOW,2016,TV-14,42,action,['US'],5.0,tt5197820,6.1,21852.0,2010
1236,ts39007,Van Helsing,SHOW,2016,TV-14,42,drama,['US'],5.0,tt5197820,6.1,21852.0,2010
1237,ts35201,Food Wars! Shokugeki no Soma,SHOW,2015,TV-MA,24,animation,['JP'],5.0,tt0417325,8.2,9651.0,2010
1237,ts35201,Food Wars! Shokugeki no Soma,SHOW,2015,TV-MA,24,comedy,['JP'],5.0,tt0417325,8.2,9651.0,2010
1237,ts35201,Food Wars! Shokugeki no Soma,SHOW,2015,TV-MA,24,drama,['JP'],5.0,tt0417325,8.2,9651.0,2010
1237,ts35201,Food Wars! Shokugeki no Soma,SHOW,2015,TV-MA,24,fantasy,['JP'],5.0,tt0417325,8.2,9651.0,2010
1237,ts35201,Food Wars! Shokugeki no Soma,SHOW,2015,TV-MA,24,thriller,['JP'],5.0,tt0417325,8.2,9651.0,2010
1238,ts36147,Lucifer,SHOW,2016,TV-14,47,scifi,['US'],6.0,tt4052886,8.1,308291.0,2010
1238,ts36147,Lucifer,SHOW,2016,TV-14,47,crime,['US'],6.0,tt4052886,8.1,308291.0,2010
1238,ts36147,Lucifer,SHOW,2016,TV-14,47,drama,['US'],6.0,tt4052886,8.1,308291.0,2010
1238,ts36147,Lucifer,SHOW,2016,TV-14,47,fantasy,['US'],6.0,tt4052886,8.1,308291.0,2010
1239,ts36550,DC's Legends of Tomorrow,SHOW,2016,TV-14,42,scifi,['US'],7.0,tt4532368,6.8,101178.0,2010
1239,ts36550,DC's Legends of Tomorrow,SHOW,2016,TV-14,42,action,['US'],7.0,tt4532368,6.8,101178.0,2010
1239,ts36550,DC's Legends of Tomorrow,SHOW,2016,TV-14,42,drama,['US'],7.0,tt4532368,6.8,101178.0,2010
1240,tm242705,Raw,MOVIE,2016,R,98,horror,"['BE', 'FR']",1.0,tt4954522,7.0,72460.0,2010
1240,tm242705,Raw,MOVIE,2016,R,98,drama,"['BE', 'FR']",1.0,tt4954522,7.0,72460.0,2010
1240,tm242705,Raw,MOVIE,2016,R,98,fantasy,"['BE', 'FR']",1.0,tt4954522,7.0,72460.0,2010
1240,tm242705,Raw,MOVIE,2016,R,98,european,"['BE', 'FR']",1.0,tt4954522,7.0,72460.0,2010
1241,tm120108,Kung Fu Panda 3,MOVIE,2016,PG,95,comedy,"['US', 'CN']",1.0,tt2267968,7.1,152791.0,2010
1241,tm120108,Kung Fu Panda 3,MOVIE,2016,PG,95,animation,"['US', 'CN']",1.0,tt2267968,7.1,152791.0,2010
1241,tm120108,Kung Fu Panda 3,MOVIE,2016,PG,95,action,"['US', 'CN']",1.0,tt2267968,7.1,152791.0,2010
1241,tm120108,Kung Fu Panda 3,MOVIE,2016,PG,95,family,"['US', 'CN']",1.0,tt2267968,7.1,152791.0,2010
1241,tm120108,Kung Fu Panda 3,MOVIE,2016,PG,95,fantasy,"['US', 'CN']",1.0,tt2267968,7.1,152791.0,2010
