timestamp,level,logger,session_id,user_id,plan_id,provider,model,latency_ms,tokens,status,intent,query,result_type,node_id,node_type,operation,execution_time_ms,completed_nodes,failed_nodes,replan_count,endpoint,method,http_status,response_ms,memory_mb,error_type,error_detail,context,stack_trace,action,ip_address,user_agent,page,component,event_type,browser,viewport,message,extra_json
2026-03-03T18:11:24.356165+00:00,INFO,copilot.frontend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,unknown,,,[FE] unknown | page=unknown component=None,
2026-03-03T18:11:36.145524+00:00,INFO,copilot.frontend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,unknown,,,[FE] unknown | page=unknown component=None,
2026-03-03T18:11:40.003588+00:00,INFO,copilot.frontend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,unknown,,,[FE] unknown | page=unknown component=None,
2026-03-03T18:11:45.007475+00:00,INFO,copilot.frontend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,unknown,,,[FE] unknown | page=unknown component=None,
2026-03-03T18:11:49.503684+00:00,INFO,copilot.frontend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,unknown,,,[FE] unknown | page=unknown component=None,
2026-03-03T18:12:03.352483+00:00,INFO,copilot.frontend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,unknown,,,[FE] unknown | page=unknown component=None,
2026-03-03T18:12:08.009779+00:00,INFO,copilot.frontend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,unknown,,,[FE] unknown | page=unknown component=None,
2026-03-03T18:12:25.567215+00:00,INFO,copilot.frontend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,unknown,,,[FE] unknown | page=unknown component=None,
2026-03-03T18:12:28.582914+00:00,INFO,copilot.frontend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,unknown,,,[FE] unknown | page=unknown component=None,
2026-03-03T18:16:48.439706+00:00,INFO,copilot.frontend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,unknown,,,[FE] unknown | page=unknown component=None,
2026-03-03T18:16:52.798316+00:00,INFO,copilot.frontend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,unknown,,,[FE] unknown | page=unknown component=None,
2026-03-03T18:16:55.697778+00:00,INFO,copilot.frontend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,unknown,,,[FE] unknown | page=unknown component=None,
2026-03-03T18:17:14.165227+00:00,INFO,copilot.frontend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,unknown,,,[FE] unknown | page=unknown component=None,
2026-03-03T18:17:27.105027+00:00,INFO,copilot.frontend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,unknown,,,[FE] unknown | page=unknown component=None,
2026-03-03T18:17:31.145485+00:00,INFO,copilot.frontend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,unknown,,,[FE] unknown | page=unknown component=None,
2026-03-03T18:17:51.427091+00:00,INFO,copilot.frontend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,unknown,,,[FE] unknown | page=unknown component=None,
2026-03-03T18:18:22.581412+00:00,INFO,copilot.frontend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,unknown,,,[FE] unknown | page=unknown component=None,
2026-03-03T18:18:33.309772+00:00,INFO,copilot.frontend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,unknown,,,[FE] unknown | page=unknown component=None,
2026-03-03T18:18:36.061191+00:00,INFO,copilot.frontend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,unknown,,,[FE] unknown | page=unknown component=None,
2026-03-03T18:18:39.761655+00:00,INFO,copilot.frontend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,unknown,,,[FE] unknown | page=unknown component=None,
2026-03-03T18:18:47.889988+00:00,INFO,copilot.frontend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,unknown,,,[FE] unknown | page=unknown component=None,
2026-03-03T18:19:25.788959+00:00,INFO,copilot.frontend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,unknown,,,[FE] unknown | page=unknown component=None,
2026-03-03T18:19:48.377136+00:00,INFO,copilot.frontend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,unknown,,,[FE] unknown | page=unknown component=None,
2026-03-03T18:19:57.506392+00:00,INFO,copilot.frontend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,unknown,,,[FE] unknown | page=unknown component=None,
2026-03-03T18:20:08.338518+00:00,INFO,copilot.frontend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,unknown,,,[FE] unknown | page=unknown component=None,
2026-03-03T18:20:11.652855+00:00,INFO,copilot.frontend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,unknown,,,[FE] unknown | page=unknown component=None,
2026-03-03T18:20:45.426945+00:00,INFO,copilot.frontend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,unknown,,,[FE] unknown | page=unknown component=None,
2026-03-03T18:20:48.442653+00:00,INFO,copilot.frontend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,unknown,,,[FE] unknown | page=unknown component=None,
2026-03-03T18:20:53.975004+00:00,INFO,copilot.frontend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,unknown,,,[FE] unknown | page=unknown component=None,
2026-03-04T18:11:56.534724+00:00,INFO,copilot.frontend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,unknown,,,[FE] unknown | page=unknown component=None,
2026-03-04T18:12:16.069711+00:00,INFO,copilot.frontend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,unknown,,,[FE] unknown | page=unknown component=None,
2026-03-04T18:12:21.294340+00:00,INFO,copilot.frontend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,unknown,,,[FE] unknown | page=unknown component=None,
2026-03-04T18:12:25.639072+00:00,INFO,copilot.frontend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,unknown,,,[FE] unknown | page=unknown component=None,
2026-03-04T18:12:28.849843+00:00,INFO,copilot.frontend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,unknown,,,[FE] unknown | page=unknown component=None,
2026-03-04T18:15:00.252223+00:00,INFO,copilot.frontend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,unknown,,,[FE] unknown | page=unknown component=None,
2026-03-04T18:19:48.190867+00:00,INFO,copilot.frontend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,unknown,,,[FE] unknown | page=unknown component=None,
2026-03-04T18:19:53.274822+00:00,INFO,copilot.frontend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,unknown,,,[FE] unknown | page=unknown component=None,
2026-03-04T18:20:02.437622+00:00,INFO,copilot.frontend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,unknown,,,[FE] unknown | page=unknown component=None,
2026-03-04T18:20:07.018918+00:00,INFO,copilot.frontend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unknown,,unknown,,,[FE] unknown | page=unknown component=None,
